Field	Time	Subject1:AnkleAngle:X	Subject1:AnkleAngle:Y	Subject1:AnkleAngle:Z	Subject1:FootProgression:X	Subject1:FootProgression:Y	Subject1:FootProgression:Z	Subject1:HipAngle:X	Subject1:HipAngle:Y	Subject1:HipAngle:Z	Subject1:KneeAngle:X	Subject1:KneeAngle:Y	Subject1:KneeAngle:Z	Subject1:metaAngle:X	Subject1:metaAngle:Y	Subject1:metaAngle:Z	Subject1:metatarsal:X	Subject1:metatarsal:Y	Subject1:metatarsal:Z	Subject1:PelvisRot:X	Subject1:PelvisRot:Y	Subject1:PelvisRot:Z	Subject1:ankle:X	Subject1:ankle:Y	Subject1:ankle:Z	Subject1:caudal:X	Subject1:caudal:Y	Subject1:caudal:Z	Subject1:head:X	Subject1:head:Y	Subject1:head:Z	Subject1:hip:X	Subject1:hip:Y	Subject1:hip:Z	Subject1:knee:X	Subject1:knee:Y	Subject1:knee:Z	Subject1:lumber:X	Subject1:lumber:Y	Subject1:lumber:Z	Subject1:stick:X	Subject1:stick:Y	Subject1:stick:Z	Subject1:toetip:X	Subject1:toetip:Y	Subject1:toetip:Z	Subject1:hipYZY:X	Subject1:hipYZY:Y	Subject1:hipYZY:Z	Subject1:avPEL:X	Subject1:avPEL:Y	Subject1:avPEL:Z
88	0.3480	1.8875	0.62595	21.85	15.497	21.24	40.955	66.208	-41.716	31.772	75.402	2.9155e-015	1.9878e-016	92.948	-15.466	277.89	61.982	761.83	15.088	84.847	-3.8189	23.842	26.59	757.7	25.411	-58.768	838.5	97.327	315.43	829.48	109.59	-17.69	831.41	85.835	37.049	810.59	74.097	-11.779	859.28	100.76	-37.164	850.48	123.66	92.364	760.56	13.42	-44.244	72.484	48.094	73.633	5.9121	1.7759
89	0.3520	8.6823	3.0059	20.655	15.957	17.631	40.328	65.769	-43.897	31.654	78.797	2.6505e-015	-7.6201e-016	93.287	-15.247	281.38	60.377	763.13	12.856	88.736	-3.8691	22.232	24.702	759.46	21.498	-50.76	839.63	98.512	324.64	829.87	109.64	-10.106	831.26	86.062	43.407	807.7	71.788	-3.4933	858.97	101.97	-28.491	849.33	125.04	90.659	761.35	12.309	-46.54	72.856	49.004	73.633	5.9121	1.7759
90	0.3560	17.067	5.8867	18.974	15.875	13.009	39.145	63.925	-46.312	30.261	81.951	1.5903e-015	-1.2921e-015	92.065	-12.713	281.13	58.191	763.64	12.28	91.552	-3.9053	20.457	21.863	760.5	18.448	-42.611	840.32	99.57	333.94	830.61	109.68	-2.4796	830.32	85.902	48.939	803.43	68.987	4.9739	858.08	103.04	-19.841	848.1	126.17	88.619	761.66	12.123	-49.394	72.46	49.83	73.633	5.9121	1.7759
91	0.3600	24.558	8.8248	18.317	15.185	9.5264	37.406	61.247	-48.797	28.049	84.388	7.9514e-016	-8.614e-016	91.273	-10.408	282.92	56.251	763.48	12.34	93.28	-3.803	18.642	19.317	760.83	16.651	-34.414	840.47	100.59	343.25	831.49	109.76	5.0432	828.85	85.542	53.686	798.42	66.202	13.565	856.66	103.96	-11.246	846.79	127.03	86.733	761.43	12.441	-52.508	71.686	50.565	73.633	5.9121	1.7759
92	0.3640	29.346	11.662	19.412	14.174	8.4797	35.883	59.059	-51.31	26.811	86.014	7.9514e-016	-2.6505e-016	92.739	-9.6449	290.48	55.063	762.79	12.209	94.855	-3.5969	16.692	17.906	760.57	16.171	-26.265	840.48	101.54	352.51	832.37	109.9	12.399	827.27	85.24	57.988	793.43	63.874	22.151	855.01	104.72	-2.6688	845.39	127.65	85.311	760.85	12.843	-55.507	71.344	51.911	73.633	5.9121	1.7759
93	0.3680	31.475	14.266	21.717	13.117	9.5424	34.95	57.941	-53.603	27.248	87.12	7.9514e-016	-2.6505e-016	96.053	-9.7026	301.96	54.646	761.8	11.764	96.731	-3.4015	14.403	17.655	760.06	16.704	-18.187	840.73	102.37	361.68	833.33	110.09	19.635	825.9	85.179	62.186	788.95	62.187	30.698	853.29	105.38	5.9184	843.97	128.1	84.471	760.06	12.95	-57.99	71.676	53.992	73.633	5.9121	1.7759
94	0.3720	32.242	16.469	24.104	12.565	11.498	34.288	56.994	-55.643	28.044	88.053	0	-1.4578e-015	99.94	-9.5158	314.53	54.677	760.82	11.297	98.49	-3.1342	12.147	18.049	759.79	17.826	-10.083	841.1	103.19	370.79	834.49	110.27	26.881	824.82	85.349	66.418	785.13	60.914	39.252	851.72	105.96	14.504	842.74	128.48	84.045	759.28	12.819	-60.164	72.149	56.249	73.633	5.9121	1.7759
95	0.3760	32.671	18.403	26.128	12.634	13.601	33.1	54.788	-57.446	27.392	88.945	-1.0602e-015	-3.5781e-015	103.73	-8.8991	325.94	54.829	760.14	10.998	99.472	-2.6663	10.361	18.644	759.96	19.257	-1.8422	841.31	104.08	379.87	835.8	110.46	34.285	823.91	85.577	70.634	781.88	59.663	47.881	850.4	106.43	23.094	841.85	128.94	83.791	758.74	12.655	-62.466	72.048	58.185	73.633	5.9121	1.7759
96	0.3800	32.964	20.408	28.174	12.765	15.855	30.765	50.641	-58.909	24.592	89.683	-1.8553e-015	-5.3009e-015	107.23	-8.264	334.16	54.966	759.85	10.855	99.431	-2.0306	8.9623	19.339	760.42	20.884	6.5664	841.34	104.98	388.93	837.19	110.72	41.907	822.97	85.659	74.673	778.83	58.225	56.618	849.23	106.77	31.74	841.33	129.55	83.597	758.43	12.509	-65.075	71.068	59.77	73.633	5.9121	1.7759
97	0.3840	33.191	22.359	30.111	12.825	18.19	27.742	44.856	-59.878	20.077	90.146	-1.8553e-015	-5.0359e-015	110.38	-7.1497	340.73	55.116	759.58	10.894	98.583	-1.359	7.62	20.19	760.94	22.617	15.122	841.31	105.79	397.98	838.68	111.07	49.657	821.72	85.516	78.384	775.7	56.66	65.453	848.04	106.99	40.505	841.07	130.21	83.456	758.17	12.403	-67.887	69.37	61.206	73.633	5.9121	1.7759
98	0.3880	33.075	24.161	32.143	12.932	20.663	23.757	37.021	-60.056	13.349	90.255	-1.0602e-015	-2.9155e-015	113.37	-5.5433	346.93	55.322	759.25	11.053	96.79	-0.76341	6.7	21.2	761.45	24.371	23.664	840.73	106.42	406.99	840.33	111.53	57.406	820.17	85.186	81.692	772.47	55.15	74.359	846.7	107.1	49.421	840.89	130.75	83.359	757.9	12.354	-71.339	66.842	62.606	73.633	5.9121	1.7759
99	0.3920	32.17	26.02	34.956	12.707	23.43	18.659	27.781	-59.672	5.0882	89.956	0	-1.3252e-015	116.47	-4.4349	351.31	55.621	759.2	11.159	94.455	-0.21285	6.1922	22.348	761.98	26.137	32.182	839.58	106.93	415.93	842.27	112.06	65.116	818.51	84.777	84.622	769.32	53.832	83.325	845.16	107.12	58.478	840.57	131.11	83.265	757.64	12.329	-75.455	63.919	64.108	73.633	5.9121	1.7759
100	0.3960	30.638	27.768	38.269	11.985	26.307	14.304	19.725	-59.643	-1.7116	89.23	9.2766e-016	-1.0602e-015	119.62	-3.9165	353.48	56.047	759.51	11.179	92.993	0.40254	5.0592	23.684	762.68	27.982	40.958	838.87	107.4	424.76	844.39	112.64	72.85	816.89	84.392	87.292	766.47	52.732	92.353	843.48	107.04	67.641	840.02	131.27	83.145	757.49	12.273	-79.275	61.948	65.996	73.633	5.9121	1.7759
101	0.4000	28.947	28.835	41.14	11.332	29.164	12.439	14.04	-60.42	-5.5807	88.121	1.3252e-015	-1.0602e-015	122.86	-3.2702	354.85	56.565	759.96	11.191	93.182	1.0901	2.7974	25.308	763.66	29.974	50.135	839.15	107.83	433.43	846.25	113.32	80.689	815.28	84.073	89.866	764.12	51.797	101.44	841.72	106.86	76.875	839.18	131.32	83.023	757.51	12.169	-82.271	61.569	68.445	73.633	5.9121	1.7759
102	0.4040	27.395	28.794	42.948	11.515	32.101	13.222	9.7666	-61.723	-7.552	86.771	1.0602e-015	-1.0602e-015	126.29	-1.8937	357.09	57.123	760.35	11.296	94.596	1.7362	-0.14158	27.296	764.9	32.137	59.554	839.93	108.16	441.99	847.57	114.12	88.638	813.59	83.814	92.504	762.28	50.998	110.58	839.84	106.62	86.147	837.96	131.32	82.933	757.67	12.045	-84.73	62.324	71.37	73.633	5.9121	1.7759
103	0.4080	25.656	28.006	44.42	12.482	35.567	14.741	5	-62.895	-9.8912	85.391	3.9757e-016	-1.3252e-015	130.01	-0.61474	359.11	57.697	760.9	11.476	95.989	2.1962	-2.8679	29.684	766.32	34.444	68.903	840.23	108.33	450.52	848.36	115.01	96.647	811.85	83.576	95.335	760.76	50.382	119.72	837.68	106.38	95.426	836.36	131.35	82.88	757.9	11.93	-87.341	63.175	74.456	73.633	5.9121	1.7759
104	0.4120	23.591	26.803	45.974	14.021	39.563	16.304	-0.38063	-63.768	-12.948	84.097	-6.6262e-017	-2.1204e-015	133.81	0.0095696	359.93	58.343	761.7	11.739	96.955	2.4869	-5.2508	32.521	767.84	36.833	78.147	839.96	108.42	459.08	848.7	115.92	104.67	810.18	83.332	98.451	759.47	50.002	128.85	835.29	106.21	104.69	834.55	131.39	82.849	758.15	11.83	-90.079	63.904	77.427	73.633	5.9121	1.7759
105	0.4160	21.452	24.954	47.024	16.751	43.716	18.885	-6.0641	-64.336	-16.511	82.791	-1.3252e-016	-2.3854e-015	137.6	0.43825	360.35	59.135	762.49	12.125	97.76	2.7369	-7.2723	35.887	769.35	39.266	87.397	839.41	108.55	467.66	848.52	116.84	112.71	808.6	83.113	101.93	758.48	49.861	137.98	832.96	106.12	113.91	832.71	131.42	82.829	758.39	11.738	-92.836	64.674	80.171	73.633	5.9121	1.7759
106	0.4200	19.187	22.316	47.376	21.178	48.05	22.869	-12.466	-64.357	-20.961	81.24	-3.2869e-032	-2.1204e-015	141.64	0.60869	360.49	60.09	763.12	12.585	98.404	2.988	-8.598	39.839	770.63	41.763	96.63	838.56	108.75	476.25	847.84	117.74	120.79	806.99	83.003	105.85	757.87	49.927	147.12	830.92	106.08	123.09	830.96	131.44	82.832	758.57	11.657	-95.894	65.242	82.786	73.633	5.9121	1.7759
107	0.4240	16.601	18.982	47.3	27.049	52.771	28.329	-18.885	-63.817	-25.338	79.34	4.6383e-016	-1.0602e-015	146	0.21396	360.24	61.219	763.56	13.107	98.881	3.158	-9.4987	44.359	771.44	44.313	105.83	837.63	108.97	484.89	846.85	118.56	128.97	805.25	83.091	110.3	757.53	50.213	156.27	829.19	106.15	132.25	829.42	131.48	82.875	758.65	11.607	-99.063	65.539	85.51	73.633	5.9121	1.7759
108	0.4280	13.495	15.135	47.238	34.197	57.973	35.162	-24.339	-62.749	-28.654	77.262	9.111e-016	2.6505e-016	150.46	-0.95835	359.64	62.528	763.94	13.688	98.953	3.1504	-10.34	49.406	771.81	46.79	115.01	836.82	109.2	493.6	845.58	119.3	137.29	803.43	83.399	115.33	757.23	50.774	165.41	827.62	106.38	141.37	828.19	131.59	82.963	758.6	11.597	-102.05	65.508	88.319	73.633	5.9121	1.7759
109	0.4320	9.8196	10.887	47.269	43.63	63.29	44.115	-28.598	-61.199	-30.927	75.2	9.5251e-016	2.6505e-016	154.7	-2.8133	358.89	64.031	764.32	14.338	98.408	2.9794	-11.109	54.967	771.97	49.036	124.19	836.08	109.46	502.38	843.86	119.99	145.79	801.73	83.858	120.95	756.91	51.611	174.55	826.19	106.78	150.48	827.33	131.84	83.083	758.45	11.622	-104.83	65.121	90.981	73.633	5.9121	1.7759
110	0.4360	5.7111	6.3322	46.985	57.207	67.92	57.181	-31.976	-59.272	-32.416	73.028	5.0939e-016	2.6505e-016	158.16	-4.96	358.16	65.777	764.63	15.151	97.385	2.6913	-11.727	61.024	772	51.02	133.39	835.42	109.73	511.25	841.62	120.65	154.51	800.27	84.44	127.16	756.76	52.645	183.68	824.98	107.32	159.61	826.84	132.24	83.242	758.26	11.691	-107.57	64.442	93.6	73.633	5.9121	1.7759
111	0.4400	1.3095	1.6191	46.083	76.012	71.188	75.903	-34.548	-56.933	-32.86	70.487	-1.4909e-016	5.3009e-016	160.24	-7.0185	357.55	67.843	764.72	16.284	95.974	2.2985	-12.28	67.533	771.76	52.845	142.62	834.97	110.01	520.28	838.97	121.27	163.48	798.94	85.217	133.91	756.88	53.836	192.84	824.03	107.94	168.83	826.71	132.75	83.496	758.09	11.876	-110.36	63.4	96.595	73.633	5.9121	1.7759
112	0.4440	-3.3493	-3.1546	44.905	99.101	72.773	99.209	-36.314	-54.068	-32.38	67.691	-4.5969e-016	7.9514e-016	160.66	-8.8124	356.91	70.307	764.53	17.831	93.909	1.8802	-12.643	74.466	771.13	54.625	151.87	834.53	110.32	529.49	836.12	121.8	172.67	797.66	86.202	141.12	757.06	55.276	202.04	823.27	108.63	178.15	826.96	133.32	83.962	757.9	12.29	-113.34	61.875	99.93	73.633	5.9121	1.7759
113	0.4480	-8.2252	-8.0513	44.065	123.08	72.318	123.05	-37.746	-50.974	-32.068	65.092	-3.2717e-016	5.3009e-016	159.43	-10.284	356.11	73.238	764.16	19.771	91.212	1.5188	-12.461	81.859	770.2	56.408	161.11	833.79	110.72	538.78	833.1	122.24	182.02	796.62	87.285	148.75	756.97	57.09	211.3	822.7	109.36	187.54	827.43	133.9	84.777	757.62	13.005	-116.49	60.237	102.91	73.633	5.9121	1.7759
114	0.4520	-13.22	-13.165	43.731	143.13	69.469	142.46	-39.444	-48.566	-32.847	63.004	-1.6565e-017	-2.6505e-016	156.52	-11.231	355.09	76.738	763.7	22.067	88.619	1.1174	-11.805	89.758	769.13	58.148	170.32	832.85	111.08	548.02	829.8	122.57	191.5	796.05	88.352	156.85	756.57	59.277	220.64	822.34	110.07	196.93	827.88	134.47	86.087	757.26	14.002	-119.32	59.347	104.82	73.633	5.9121	1.7759
115	0.4560	-18.187	-18.572	43.682	156.26	64.534	155.13	-41.401	-47.645	-34.52	61.357	3.7272e-017	-5.3009e-016	151.91	-11.669	353.73	80.973	763.18	24.692	86.991	0.57981	-11.257	98.229	767.88	59.796	179.57	832.19	111.3	556.99	825.87	122.92	201.09	795.8	89.47	165.55	756	61.732	230.05	822.15	110.78	206.29	828.16	135.03	88.04	756.85	15.188	-121.06	59.674	105.49	73.633	5.9121	1.7759
116	0.4600	-22.759	-24.286	43.938	163.29	58.757	162.46	-42.949	-48.225	-36.276	60.123	-3.4787e-016	-1.0602e-015	145.61	-12.021	351.56	86.179	762.58	27.557	86.346	0.050761	-11.203	107.37	766.31	61.389	188.98	832.14	111.49	565.69	821.24	123.33	210.75	795.66	90.725	174.93	755.27	64.363	239.52	822.13	111.44	215.63	828.43	135.53	90.742	756.35	16.415	-121.32	60.815	105.03	73.633	5.9121	1.7759
117	0.4640	-26.552	-29.794	44.43	166.94	53.583	166.85	-43.432	-49.717	-37.545	59.617	-8.117e-016	-2.3854e-015	137.47	-11.631	349.52	92.634	761.71	30.535	85.858	-0.26391	-11.455	117.23	764.52	63.028	198.62	832.61	111.76	574.42	816.5	123.63	220.51	795.78	91.99	185	754.33	67.102	249.05	822.39	111.99	225.03	829.03	135.88	94.2	755.65	17.465	-120.25	62.015	103.61	73.633	5.9121	1.7759
118	0.4680	-29.622	-33.893	44.308	168.56	49.801	168.64	-42.758	-51.492	-38.153	60.144	-9.9392e-016	-3.4456e-015	127.37	-8.7394	352.03	100.62	760.14	33.537	84.811	-0.396	-11.625	127.8	762.79	64.803	208.41	833.46	111.98	583.42	812.02	123.75	230.4	796.38	93.089	195.74	753.21	69.901	258.68	823.12	112.34	234.56	830.29	135.99	98.337	754.6	18.122	-118.41	62.847	101.62	73.633	5.9121	1.7759
119	0.4720	-32.307	-35.359	42.498	167.7	47.541	166.63	-41.114	-53.231	-38.008	61.67	-6.9575e-016	-3.048e-015	115.6	-2.5202	367.23	110.31	757.35	36.529	83.027	-0.56673	-11.608	139.04	761.36	66.698	218.24	834.66	111.9	592.63	807.65	123.81	240.46	797.37	93.972	207.11	752	72.766	268.43	824.35	112.41	244.3	832.26	135.81	103.15	752.86	18.413	-116.2	63.272	99.443	73.633	5.9121	1.7759
120	0.4760	-34.634	-33.988	38.959	164.27	46.617	160.8	-38.638	-54.776	-37.049	63.819	-1.3252e-016	-1.4578e-015	102.66	4.9098	400.64	121.67	753.16	39.505	80.625	-0.8681	-11.469	150.9	760.13	68.653	228.07	836.16	111.41	601.84	802.94	123.95	250.66	798.4	94.707	219.09	750.8	75.768	278.26	825.98	112.19	254.23	834.82	135.31	108.87	750.02	19.202	-113.81	63.324	97.312	73.633	5.9121	1.7759
121	0.4800	-36.305	-30.617	34.574	159.3	46.531	152.68	-35.518	-55.975	-35.528	66.284	3.3131e-016	6.6262e-017	89.373	9.7613	445.9	134.4	747.87	42.697	77.65	-1.1778	-11.072	163.32	758.84	70.621	237.87	837.7	110.64	611.04	797.94	124.18	260.99	799.35	95.293	231.66	749.64	78.962	288.12	827.87	111.69	264.22	837.74	134.48	115.97	745.66	21.997	-111.41	63.009	95.177	73.633	5.9121	1.7759
122	0.4840	-37.118	-26.117	29.887	153.81	46.487	143.42	-32.07	-56.738	-33.863	69.052	7.2888e-016	7.2888e-016	77.11	10.252	488.28	148.15	741.99	46.553	74.153	-1.3346	-10.137	176.21	757.45	72.551	247.62	838.91	109.75	620.38	793.07	124.38	271.41	800.38	95.646	244.77	748.61	82.264	298.01	829.9	110.94	274.13	840.79	133.32	124.92	739.63	27.672	-109.17	62.389	92.945	73.633	5.9121	1.7759
123	0.4880	-37.135	-21.273	25.217	148.23	46.01	134	-28.457	-57.171	-32.046	71.956	9.9392e-016	7.6201e-016	67.536	7.0016	517.53	162.75	735.94	51.216	70.471	-1.3003	-8.6558	189.49	755.84	74.436	257.3	839.73	108.84	629.92	788.49	124.45	281.89	801.59	95.72	258.37	747.82	85.423	307.91	832.03	110	283.89	843.76	131.94	136.03	732.11	35.7	-107.05	61.617	90.737	73.633	5.9121	1.7759
124	0.4920	-36.425	-16.968	21.244	142.3	45.249	125.47	-24.298	-57.75	-29.363	74.507	9.2766e-016	6.4812e-016	61.533	1.8786	534.36	178.24	729.9	56.28	67.246	-1.2247	-7.1257	203.1	753.64	76.322	266.94	840.4	107.92	639.51	784.07	124.43	292.38	802.95	95.549	272.38	747.38	88.181	317.81	834.04	109.01	293.58	846.4	130.56	149.44	723.47	44.543	-104.57	61.055	88.709	73.633	5.9121	1.7759
125	0.4960	-34.707	-13.547	18.351	135.12	44.169	117.69	-19.215	-59.144	-25.382	76.463	5.3009e-016	3.5409e-016	58.342	-3.0959	544.18	194.78	723.78	61.166	65.246	-1.2429	-6.0085	217.02	750.76	78.168	276.59	841.11	106.98	648.9	779.36	124.5	302.87	804.28	95.236	286.72	747.3	90.457	327.63	835.74	108.09	303.25	848.42	129.36	165.26	714.12	52.813	-101.32	61.303	86.777	73.633	5.9121	1.7759
126	0.5000	-31.721	-10.635	16.082	126.11	42.341	109.6	-13.093	-61.454	-20.243	78.049	2.6505e-016	4.1413e-017	56.604	-6.5377	549.56	212.44	717.48	65.659	64.694	-1.3194	-5.3	231.28	747.47	79.843	286.24	841.75	106.11	658.03	774.26	124.72	313.36	805.38	94.902	301.29	747.42	92.322	337.36	837.01	107.29	312.93	849.6	128.46	183.43	704.39	59.861	-97.412	62.6	84.748	73.633	5.9121	1.7759
127	0.5040	-27.592	-7.817	13.831	115.6	39.643	100.9	-5.6749	-63.96	-13.866	79.52	3.9757e-016	5.5908e-017	55.655	-8.1039	551.62	231.17	711.13	69.809	65.051	-1.385	-4.8487	245.9	744	81.25	295.92	842.07	105.39	667.13	769.3	124.89	323.84	806.17	94.611	315.99	747.55	93.838	347.12	837.73	106.64	322.58	850	127.85	203.72	694.51	65.667	-93.18	64.476	82.621	73.633	5.9121	1.7759
128	0.5080	-22.841	-5.2905	11.615	104.79	36.499	92.775	3.0714	-65.787	-6.1548	80.742	3.9757e-016	3.1681e-016	55.559	-8.6077	552.33	250.83	705.06	73.59	65.558	-1.4301	-4.5467	260.87	740.28	82.389	305.62	841.95	104.86	676.48	765.09	124.75	334.33	806.69	94.354	330.69	747.61	95.015	356.96	837.87	106.15	332.22	849.84	127.45	225.84	684.71	70.652	-88.924	66.237	80.613	73.633	5.9121	1.7759
129	0.5120	-18.053	-3.4456	9.8674	94.681	33.451	86.246	12.241	-66.695	2.0592	81.365	1.3252e-016	4.6383e-016	56.357	-9.068	553.38	271.2	699.55	76.833	65.865	-1.4417	-4.1661	276.09	736.06	83.295	315.32	841.33	104.51	685.96	761.41	124.33	344.81	806.96	94.113	345.3	747.7	95.892	366.86	837.58	105.81	341.86	849.29	127.2	249.58	675.43	75.126	-84.986	67.598	78.871	73.633	5.9121	1.7759
130	0.5160	-13.425	-2.2087	8.7475	85.438	30.726	80.933	20.245	-66.898	9.0719	81.326	0	3.6444e-016	57.683	-10.028	555.5	292.08	694.75	79.327	65.994	-1.3557	-3.3602	291.54	731.39	83.906	325.01	840.18	104.32	695.1	757.3	123.93	355.27	806.91	93.924	359.73	747.92	96.538	376.71	837.15	105.55	351.53	848.49	127.05	274.76	667.32	79.073	-81.697	68.607	77.282	73.633	5.9121	1.7759
131	0.5200	-9.0397	-1.3448	8.092	76.971	28.281	76.327	26.699	-66.509	14.389	80.854	1.3252e-016	2.6505e-016	59.42	-11.548	558.94	313.29	690.63	80.993	66.008	-1.1843	-2.1429	307.26	726.55	84.143	334.69	838.68	104.22	703.83	752.58	123.63	365.67	806.48	93.844	373.97	748.26	97.006	386.48	836.75	105.3	361.19	847.59	126.99	301.05	660.8	82.406	-78.957	69.308	75.679	73.633	5.9121	1.7759
132	0.5240	-4.925	-0.69302	7.8344	69.075	25.866	72.356	32.761	-65.756	19.184	80.25	2.6505e-016	2.6505e-016	61.797	-13.559	564.02	334.65	687.17	81.858	66.211	-1.0353	-0.87891	323.35	721.74	84.002	344.33	837.06	104.18	712.51	747.91	123.27	376	805.7	93.902	388.05	748.55	97.355	396.22	836.26	105.12	370.78	846.53	127.06	328.05	656.04	85.051	-76.328	70.004	74.022	73.633	5.9121	1.7759
133	0.5280	-1.0645	-0.10994	8.0852	61.364	23.281	68.969	39.277	-64.888	24.394	79.567	1.3252e-016	2.6505e-016	64.722	-15.953	570.62	356.05	684.47	81.961	66.958	-0.96235	0.20922	339.84	716.99	83.548	353.9	835.39	104.23	721.58	743.89	122.63	386.25	804.67	94.096	401.97	748.76	97.623	405.9	835.58	105.11	380.28	845.1	127.28	355.34	653.19	86.867	-73.556	71.052	72.393	73.633	5.9121	1.7759
134	0.5320	2.4448	0.47871	8.9914	53.471	20.86	65.92	45.546	-63.754	29.392	78.505	0	1.9878e-016	67.607	-18.428	577.7	377.39	682.63	81.334	67.979	-0.94312	1.1572	356.71	712.19	82.854	363.43	833.58	104.44	730.95	740.23	121.78	396.43	803.5	94.401	415.7	749.08	97.765	415.52	834.63	105.3	389.73	843.33	127.67	382.5	652.19	87.632	-70.657	72.177	70.814	73.633	5.9121	1.7759
135	0.5360	5.4037	1.0783	10.357	45.353	18.995	62.925	50.529	-61.937	33.115	76.897	0	-4.9304e-032	70.171	-20.252	583.99	398.56	681.54	80.084	68.713	-0.99138	1.89	373.93	707.41	81.894	372.93	831.64	104.82	740.34	736.38	120.83	406.52	802.34	94.783	429.14	749.55	97.732	425.09	833.36	105.73	399.17	841.44	128.19	409.16	652.68	87.162	-67.605	72.802	69.159	73.633	5.9121	1.7759
136	0.5400	7.5215	1.6094	11.66	37.639	17.525	59.971	53.996	-59.448	35.237	74.881	-2.6505e-016	-6.6262e-017	72.853	-20.454	588.92	419.4	680.85	78.412	69.018	-1.1212	2.337	391.45	702.98	80.567	382.42	829.66	105.37	749.87	732.56	119.74	416.52	801.26	95.246	442.25	749.99	97.536	434.63	831.79	106.4	408.58	839.55	128.88	435.01	654.25	85.407	-64.433	72.778	67.293	73.633	5.9121	1.7759
137	0.5440	8.8508	2.048	12.768	30.752	16.086	57.264	56.392	-56.787	36.212	72.632	-5.3009e-016	-6.6262e-017	75.684	-18.926	592.17	439.81	680.51	76.362	69.323	-1.3047	2.6414	409.2	699.09	78.798	391.88	827.56	106.1	759.63	728.98	118.5	426.39	800.13	95.847	455.01	750.19	97.235	444.17	829.98	107.29	417.95	837.49	129.81	459.82	656.82	82.399	-61.373	72.473	65.304	73.633	5.9121	1.7759
138	0.5480	9.7595	2.4587	13.86	24.347	14.434	55.145	58.614	-54.231	37.117	70.239	-2.6505e-016	-1.3252e-016	78.096	-16.339	593.06	459.69	680.74	73.814	70.288	-1.5474	2.7942	426.98	695.72	76.51	401.32	825.33	106.97	769.74	725.87	117.09	436.1	798.74	96.658	467.39	750.16	96.843	453.72	827.89	108.39	427.25	834.96	130.99	483.33	660.48	78.27	-58.402	72.4	63.49	73.633	5.9121	1.7759
139	0.5520	10.373	2.8107	14.887	18.219	12.621	53.536	60.902	-51.569	38.21	67.865	2.6505e-016	1.9878e-016	80.007	-13.196	592.16	478.85	681.6	70.68	71.957	-1.8564	2.6759	444.53	692.94	73.58	410.8	822.94	107.92	780.05	723.07	115.6	445.62	796.98	97.714	479.4	750.02	96.355	463.24	825.4	109.62	436.49	831.84	132.35	505.28	665.11	73.296	-55.263	72.551	61.818	73.633	5.9121	1.7759
140	0.5560	10.506	3.0063	15.781	12.814	10.828	52.053	63.1	-48.735	38.991	65.798	5.3009e-016	1.1927e-015	82.108	-9.805	592.16	496.98	682.9	66.906	74.048	-2.1966	2.2304	461.5	691.04	69.853	420.32	820.37	108.91	790.33	720.24	114.22	455.02	794.92	98.972	491.05	749.74	95.832	472.74	822.41	110.92	445.81	828.19	133.79	525.37	670.36	67.853	-51.952	72.766	59.908	73.633	5.9121	1.7759
141	0.5600	10.085	3.0537	16.743	8.8032	9.2822	50.118	64.902	-46.06	38.598	64.435	5.3009e-016	2.1866e-015	85.085	-6.5517	595.6	513.54	684.52	62.384	76.244	-2.4623	1.6172	477.36	690.29	65.194	429.9	817.54	109.92	800.37	717.15	113.1	464.36	792.65	100.31	502.36	749.09	95.352	482.23	819.02	112.17	455.32	824.18	135.22	543.24	675.82	62.228	-48.886	72.955	57.257	73.633	5.9121	1.7759
142	0.5640	9.6423	3.1963	18.171	6.197	8.1526	47.038	65.927	-43.905	36.346	64.173	5.3009e-016	1.8553e-015	88.425	-4.3114	602.49	528.04	686.51	56.978	78.124	-2.5324	1.1436	491.49	690.72	59.626	439.49	814.33	110.96	810.05	713.73	112.3	473.68	790.16	101.52	513.34	747.78	94.815	491.78	815.37	113.27	465.02	819.97	136.51	558.51	681.03	56.502	-46.512	72.941	53.569	73.633	5.9121	1.7759
143	0.5680	10.028	3.8457	20.341	3.9324	7.5248	42.859	66.24	-42.233	32.997	65.181	2.6505e-016	3.3131e-016	90.748	-4.1445	610.96	540.23	689	50.664	79.726	-2.4346	0.7455	503.36	691.84	53.384	449.1	810.81	111.93	819.77	710.63	111.59	482.99	787.34	102.43	524.02	745.64	93.888	501.41	811.49	114.15	474.8	815.59	137.59	570.96	685.49	50.449	-44.768	72.652	49.475	73.633	5.9121	1.7759
144	0.5720	11.402	5.1024	23.041	0.57799	7.4856	37.24	65.516	-39.84	28.991	67.248	-5.3009e-016	-8.117e-016	91.462	-5.8285	619.24	549.97	691.94	43.497	80.604	-2.4747	-0.52518	512.77	693.42	46.626	458.81	807.24	112.73	829.97	708.56	110.72	492.33	784	102.92	534.28	742.65	92.13	510.93	806.8	114.98	484.6	811.08	138.43	580.64	689.02	43.586	-42.496	71.417	45.127	73.633	5.9121	1.7759
